,Prompt,combined,Skor Label
0,saya ingin belajar fisika dengan mahasiswa fisika yang sudah berpengalaman menjadi asisten dosen dan juga di daerah yogyakarta dengan menggunakan bahasa indonesia harus laki-laki .,"jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : sleman interest : kalkulus , fisika bahasa : indonesia kriteria : saya mahasiswa fisika universitas gadjah mada yang sangat menguasai fisika dan matematika tingkat sma , saya juga berpengalaman dalam menjadi asisten dosen serat asisten praktikum . gaya mengajar saya itu mengasyikkan banget , kalian akan dibuat sangat paham untuk mengerjakan berbagai permasalahan fisika .",5.0
1,tolong carikan tutor fisika dan matematika dengan pengalaman yang mumpuni di daerah yogyakarta dan sleman,jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : sleman interest : fisika bahasa : indonesia kriteria : saya berpengalaman dalam mengajar fisika dan matematika smp serta sudah memiliki sertifikat resmi,4.0
2,butuh tutor fisika buat anak sma dengan cara mengajar dengan baik di daerah bandung,jenis kelamin : perempuan provinsi : daerah istimewa yogyakarta kabupaten/kota : sleman interest : fisika bahasa : indonesia kriteria : saya menggunakan beberapa warna dalam mencatat materi tutor agar lebih menarik dan tidak bosan dilihat .,0.0
3,"carikan saya guru privat tentang hukum karena saya kesulitan kuliah di jurusan hukum , daerah yogyakarta ya","jenis kelamin : perempuan provinsi : daerah istimewa yogyakarta kabupaten/kota : sleman interest : hukum bahasa : indonesia kriteria : saya sedang menekuni kuliah sarjana strata 1 hukum , sehingga mungkin saya bisa mengajar tentang dasar-dasar mengenai hukum . saya juga pernah menjadi guru privat dan saya bisa bilang saya cukup bersahabat .",4.0
4,guru dengan tegas dan semangat mengajar anak saya mata pelajaran kimia,jenis kelamin : laki-laki provinsi : daerah istimewa yogyakarta kabupaten/kota : sleman interest : sosiologi bahasa : indonesia kriteria : saya sangat mendalami pelajaran sosiologi saat sma,2.0
5,privat tutor dengan keahlian machine learning untuk saya yang butuh kemampuan natural language processing,jenis kelamin : laki-laki provinsi : jakarta kabupaten/kota : jakarta barat interest : machine learning bahasa : inggris kriteria : saya senang memberikan contoh aplikasi nyata dalam bidang fisika,3.0
6,info guru privat daerah jakarta untuk belajar machine learning yang sudah sangat berpengalaman,jenis kelamin : laki-laki provinsi : jakarta kabupaten/kota : jakarta timur interest : machine learning bahasa : inggris kriteria : saya seseorang yang berpengalaman dalam bidang machine learning baik dalam negeri ataupun luar negeri . kemudian ada pengalaman mengajar untuk mahasiswa sehingga membantu yang kesulitan untuk belajar machine learning dengan mudah .,5.0
7,dicari orang untuk acara seminar yang ahli data science secara online terutama untuk yang non stem dapat menjelaskannya dengan sangat sederhana,jenis kelamin : laki-laki provinsi : jawa barat kabupaten/kota : bogor interest : data science bahasa : inggris kriteria : saya berpengalaman mengajar data science dan mampu menjelaskan konsep data sains dengan baik kepada orang-orang dengan latar pendidikan non stem menggunakan pendekatan yang sederhana . saya selalu membawakan materi dengan semangat dan penuh gairah .,2.0
8,saya ingin belajar matematika dengan guru yang bisa menjelaskan dengan bahasa yang mudah dipahami dan menggunakan contoh sehari-hari,jenis kelamin : perempuan provinsi : jawa barat kabupaten/kota : bogor interest : matematika bahasa : indonesia kriteria : saya sudah mengajar sebagai guru les kontrak atau sesuai permintaan selama 5 tahun . saya bisa menulis terbalik ke arah siswa . saya bisa menjelaskan konsep matematika ke anak-anak dengan bahasa dan cerita yang mudah dipahami karena menggunakan contoh sehari-hari atau yang terbayang .,2.0
9,saya butuh tutor matematika yang bisa mengajarkan konsep dasar agar mudah dipahami,jenis kelamin : laki-laki provinsi : jakarta kabupaten/kota : jakarta timur interest : matematika bahasa : indonesia kriteria : sangat menguasai matematik dan memiliki pengalaman mengajar sebagai guru tutor selama 3 tahun . gaya mengajar saya adalah dengan cara mengajari konsep dasar agar mudah dipahami .,5.0
10,saya mencari tutor yang bisa mengajar matematika dengan menyertakan meme atau candaan agar pelajaran lebih menyenangkan,"jenis kelamin : laki-laki provinsi : jakarta kabupaten/kota : jakarta barat interest : matematika bahasa : indonesia kriteria : memiliki pengalaman membuat slide materi dan mengajar matematika untuk anak sd , gemar memasukkan meme atau candaan di materi agar mudah dipahami dan siswa tidak bosan",5.0
11,saya butuh pengajar yang menggunakan metode first principle untuk pemrograman dasar di cilegon provinsi banten,"jenis kelamin : laki-laki provinsi : banten kabupaten/kota : cilegon interest : pemrograman dasar bahasa : indonesia kriteria : saya menggunakan metode first principle dalam melakukan kegiatan belajar/mengajar dan pendekatan yang intuitif , agar audiens dapat memahami suatu topik secara mendalam sebelum mereka melakukan hal yang lebih kompleks",4.0
12,saya ingin belajar terkait prompt engineering ai menggunakan chatgpt dari seorang ahli matematika,"jenis kelamin : laki-laki provinsi : jakarta kabupaten/kota : jakarta timur interest : artificial intelligence , spesialisasi prompt engineering bahasa : indonesia kriteria : saya adalah seorang yang berpengalaman dalam dunia prompt engineering ai dengan menggunakan chatgpt , stable diffusion , dall-e , dan midjourney",1.0
